dataset,model,accuracy,f1_macro,precision_macro,recall_macro,f1_negative,f1_neutral,f1_positive
tweeteval_sentiment_3class_test,VADER (baseline),0.5574290484140234,0.5509141471403599,0.552817119376944,0.5719592073362152,0.5201115093588212,0.5222654561175962,0.6103654759446624
tweeteval_sentiment_3class_test,"BERT-5class (pretrained, direct call)",0.4419031719532554,0.41876134902517465,0.4728236854870602,0.5322702666469495,0.4624219725343321,0.1882706766917293,0.6055913978494624
tweeteval_sentiment_3class_test,"BERT-3class (pretrained, direct call)",0.920534223706177,0.9130500577460069,0.911877090514431,0.9143700420663583,0.870670758439281,0.9180448364571848,0.9504345783415551
tweeteval_sentiment_3class_test,"BERTweet-3class (pretrained, direct call)",0.774958263772955,0.7741938511966269,0.7676112521258608,0.782758546169725,0.7576509511993383,0.7579298831385642,0.8070007192519779
tweeteval_sentiment_3class_test,"RoBERTa-3class (pretrained, direct call)",0.7619365609348915,0.7614584967135615,0.7547560995797449,0.7709861105870734,0.7467320261437909,0.7467652495378928,0.7908782144590005
sst_3class_test,VADER (baseline),0.5206751054852321,0.4705651268311115,0.483365045205576,0.4756144393241167,0.49872122762148335,0.2650103519668737,0.6479638009049774
sst_3class_test,"BERT-5class (pretrained, direct call)",0.6345991561181434,0.5881245420496826,0.5938804559070402,0.5886840757808499,0.6861826697892272,0.3453815261044177,0.7328094302554028
sst_3class_test,"BERT-3class (pretrained, direct call)",0.5949367088607594,0.5760915863352135,0.617729905196481,0.5836437532002048,0.6334610472541508,0.35958395245170877,0.7352297592997812
sst_3class_test,"BERTweet-3class (pretrained, direct call)",0.6540084388185654,0.6272756265630859,0.6497022074131243,0.635519073220686,0.6802884615384616,0.40716612377850164,0.7943722943722944
sst_3class_test,"RoBERTa-3class (pretrained, direct call)",0.6691983122362869,0.6298296423541793,0.6450818413316384,0.6320724526369688,0.7457983193277311,0.3756906077348066,0.768
selfbuilt_database_corrected,VADER (baseline),0.5,0.48632555563248636,0.5141121979206023,0.49500409500409503,0.39603960396039606,0.44755244755244755,0.6153846153846154
selfbuilt_database_corrected,"BERT-5class (pretrained, direct call)",0.655,0.6325821124359036,0.6719126751384815,0.6399672399672399,0.7205882352941176,0.4835164835164835,0.6936416184971098
selfbuilt_database_corrected,"BERT-3class (pretrained, direct call)",0.735,0.7285546415981199,0.744022869022869,0.7323095823095823,0.6666666666666666,0.6811594202898551,0.8378378378378378
selfbuilt_database_corrected,"BERTweet-3class (pretrained, direct call)",0.805,0.8010409411036298,0.8130716749137802,0.8033988533988534,0.7627118644067796,0.75,0.8904109589041096
selfbuilt_database_corrected,"RoBERTa-3class (pretrained, direct call)",0.825,0.8231751270800506,0.8291470703004662,0.8251979251979252,0.8064516129032258,0.7819548872180451,0.8811188811188811
